Id,Sales
1,4414.3896
2,6936.0596
3,9523.885
4,7308.493
5,7309.204
6,5994.227
7,7561.128
8,8205.187
9,5128.0977
10,5861.8857
11,7229.0527
12,8299.69
13,7279.3477
14,9206.03
15,5912.184
16,4647.174
17,5841.951
18,9406.127
19,10816.54
20,9384.882
21,8214.691
22,4186.8164
23,6120.327
24,4423.2812
25,7804.872
26,11260.312
27,9359.355
28,5951.2847
29,4932.433
30,3897.3462
31,5999.643
32,10134.808
33,6445.425
34,5661.738
35,5457.7744
36,7514.338
37,3667.907
38,7529.2656
39,4623.118
40,6873.051
41,6535.534
42,5671.9736
43,8064.999
44,7101.3833
45,4910.4165
46,6745.8247
47,7550.312
48,11906.333
49,6368.8813
50,8548.537
51,7157.5303
52,8691.077
53,6847.7246
54,9388.713
55,4808.754
56,5277.6875
57,5590.9546
58,6210.753
59,8807.423
60,7754.059
61,5885.6646
62,8043.6606
63,6628.1934
64,9579.168
65,3934.6733
66,12591.374
67,4520.272
68,6166.465
69,8074.7266
70,4596.2007
71,6426.2017
72,6183.012
73,7915.029
74,5815.697
75,5630.6255
76,7578.909
77,8067.4453
78,6719.0317
79,5250.4077
80,7559.145
81,11748.153
82,6897.8066
83,4358.3525
84,7022.8677
85,6101.422
86,5387.9175
87,7479.5405
88,3976.656
89,8683.049
90,6229.7593
91,7350.503
92,6883.238
93,4386.2607
94,5427.907
95,5174.122
96,8174.3354
97,8810.985
98,5363.018
99,4493.062
100,7237.013
101,6217.8584
102,5682.4663
103,7905.0864
104,6830.2256
105,7186.4146
106,5853.2104
107,4444.9067
108,6963.824
109,7586.5527
110,7854.2427
111,8652.901
112,8070.7617
113,5637.3364
114,9432.941
115,5686.104
116,6879.071
117,9506.063
118,6635.188
119,9827.827
120,7961.102
121,7502.179
122,6177.0063
123,7148.594
124,8278.378
125,6614.8374
126,4020.5054
127,5006.3965
128,7790.6685
129,6143.3384
130,4277.598
131,8625.194
132,6598.236
133,5819.8467
134,6084.217
135,5263.1514
136,6844.806
137,7392.3027
138,6867.292
139,5697.0845
140,5440.952
141,6354.351
142,3885.8228
143,6530.6685
144,5358.9434
145,8678.761
146,7575.6064
147,6367.1567
148,12103.072
149,4891.3193
150,5086.3613
151,10249.902
152,6693.9663
153,8988.323
154,7568.1475
155,5650.9116
156,6352.1094
157,5637.6646
158,8274.977
159,11477.496
160,6775.147
161,3501.9077
162,4633.517
163,8831.394
164,8852.593
165,6047.956
166,6882.772
167,5100.9585
168,5301.2246
169,3226.3518
170,4881.561
171,6480.013
172,7511.1064
173,6481.5273
174,6452.3125
175,8400.256
176,9653.801
177,7933.794
178,4850.9688
179,9229.757
180,10849.196
181,5817.2056
182,7432.256
183,5859.89
184,6504.8105
185,4260.2344
186,7036.3022
187,5319.233
188,8851.893
189,7498.4883
190,8542.2295
191,7979.7627
192,5942.9927
193,8986.206
194,18298.584
195,9996.55
196,5468.7627
197,3536.4626
198,6335.3994
199,8040.8228
200,5645.918
201,13051.83
202,19475.232
203,4100.5454
204,5320.004
205,9477.414
206,5057.5474
207,7879.721
208,6712.3643
209,7970.97
210,4442.932
211,6258.157
212,5883.852
213,7699.361
214,9861.748
215,6429.622
216,6294.5317
217,7257.831
218,5272.335
219,5066.145
220,7768.8926
221,5668.9995
222,5939.825
223,6948.7515
224,6113.7
225,5423.4473
226,6978.2437
227,7291.7983
228,8449.298
229,7450.047
230,7214.452
231,6077.0205
232,3871.1938
233,6038.8037
234,6732.3984
235,6296.6147
236,4646.0747
237,8095.3984
238,7548.8936
239,9808.099
240,6799.271
241,5846.3706
242,5207.423
243,4525.5
244,10639.029
245,4975.895
246,7968.4243
247,15600.866
248,7849.637
249,6953.4253
250,5689.9497
251,4445.992
252,7429.478
253,4058.675
254,5344.362
255,10769.5625
256,5424.301
257,16206.64
258,13408.741
259,4963.0044
260,6691.375
261,5212.5356
262,7110.45
263,5598.0396
264,10642.145
265,7829.526
266,9214.19
267,4590.2827
268,7573.7935
269,5336.8496
270,8303.38
271,7286.4805
272,6255.5317
273,6724.743
274,6384.212
275,8380.42
276,9930.729
277,6068.999
278,10206.175
279,6713.946
280,9800.992
281,5633.0156
282,5227.196
283,5756.9663
284,10191.031
285,6497.7056
286,8414.904
287,6534.8174
288,9119.305
289,4723.653
290,8822.908
291,6305.1177
292,4137.419
293,12970.282
294,17354.088
295,7176.566
296,7319.535
297,8899.141
298,10748.271
299,11682.403
300,5572.6426
301,7463.6294
302,5837.195
303,8809.851
304,4040.2424
305,5595.259
306,5694.461
307,5967.2144
308,7239.367
309,5294.323
310,4648.6675
311,7128.98
312,4027.39
313,4729.183
314,6211.067
315,6127.0376
316,9649.631
317,8223.479
318,7555.4263
319,6426.735
320,6586.9126
321,11825.287
322,7428.082
323,5182.1123
324,4947.608
325,8494.341
326,4664.1304
327,7302.397
328,3407.752
329,4856.866
330,7564.575
331,6080.6377
332,5111.979
333,8598.19
334,10277.535
335,12387.466
336,6280.584
337,9524.294
338,3027.852
339,5316.9507
340,6824.3984
341,4551.2305
342,7338.2314
343,4830.9277
344,5449.7026
345,8591.838
346,10452.612
347,9696.013
348,5592.7944
349,4982.9326
350,8677.445
351,7708.743
352,5845.573
353,5371.6636
354,7012.621
355,10069.219
356,4523.2993
357,6589.6143
358,8081.3057
359,7807.9316
360,12188.323
361,5631.2217
362,11756.279
363,6776.2646
364,5399.3877
365,3564.444
366,5803.0596
367,6372.4053
368,5932.6807
369,7761.465
370,5053.483
371,4662.169
372,7795.3057
373,3851.6873
374,7831.0195
375,7310.0615
376,7777.573
377,9214.366
378,5741.5317
379,8386.288
380,6608.463
381,5662.807
382,5910.2393
383,4739.8843
384,10071.149
385,6573.402
386,5033.839
387,6979.382
388,8939.74
389,7010.983
390,6001.177
391,7920.254
392,5689.467
393,6091.282
394,6211.754
395,8993.484
396,6158.014
397,6187.619
398,5946.0483
399,5461.3047
400,4061.188
401,5635.7993
402,8552.28
403,8856.14
404,10892.054
405,11044.034
406,8748.397
407,5793.1284
408,5383.567
409,11003.895
410,11171.725
411,7556.8315
412,8041.7275
413,8205.625
414,6055.3374
415,4139.1753
416,10312.113
417,6945.293
418,6851.3564
419,6199.7637
420,3039.4941
421,11512.236
422,6146.6377
423,5609.3213
424,5158.233
425,5782.277
426,6845.622
427,8105.5957
428,7129.7075
429,5369.748
430,4652.1445
431,3803.2178
432,3263.3154
433,7006.304
434,17995.9
435,4299.2124
436,5846.4263
437,6674.906
438,5715.2983
439,5371.669
440,5457.0303
